year,league,league_champion,ws_champion
1871,NA,PH1,
1872,NA,BS1,
1873,NA,BS1,
1874,NA,BS1,
1875,NA,BS1,
1876,NL,CHN,
1877,NL,BSN,
1878,NL,BSN,
1879,NL,PRO,
1880,NL,CHN,
1881,NL,CHN,
1882,NL,CHN,
1882,AA,CN2,
1883,NL,BSN,
1883,AA,PH4,
1884,AA,NY4,N
1884,NL,PRO,Y
1884,UA,SLU,
1885,NL,CHN,N
1885,AA,SL4,N
1886,NL,CHN,N
1886,AA,SL4,Y
1887,NL,DTN,Y
1887,AA,SL4,N
1888,NL,NY1,Y
1888,AA,SL4,N
1889,AA,BR3,N
1889,NL,NY1,Y
1890,NL,BRO,N
1890,PL,BSP,
1890,AA,LS2,N
1891,AA,BS2,
1891,NL,BSN,
1892,NL,BSN,
1893,NL,BSN,
1894,NL,BLN,
1895,NL,BLN,
1896,NL,BLN,
1897,NL,BSN,
1898,NL,BSN,
1899,NL,BRO,
1900,NL,BRO,
1901,AL,CHA,
1901,NL,PIT,
1902,AL,PHA,
1902,NL,PIT,
1903,AL,BOS,Y
1903,NL,PIT,N
1904,AL,BOS,
1904,NL,NY1,
1905,NL,NY1,Y
1905,AL,PHA,N
1906,AL,CHA,Y
1906,NL,CHN,N
1907,NL,CHN,Y
1907,AL,DET,N
1908,NL,CHN,Y
1908,AL,DET,N
1909,AL,DET,N
1909,NL,PIT,Y
1910,NL,CHN,N
1910,AL,PHA,Y
1911,NL,NY1,N
1911,AL,PHA,Y
1912,AL,BOS,Y
1912,NL,NY1,N
1913,NL,NY1,N
1913,AL,PHA,Y
1914,NL,BSN,Y
1914,FL,IND,
1914,AL,PHA,N
1915,AL,BOS,Y
1915,FL,CHF,
1915,NL,PHI,N
1916,AL,BOS,Y
1916,NL,BRO,N
1917,AL,CHA,Y
1917,NL,NY1,N
1918,AL,BOS,Y
1918,NL,CHN,N
1919,AL,CHA,N
1919,NL,CIN,Y
1920,NL,BRO,N
1920,AL,CLE,Y
1921,NL,NY1,Y
1921,AL,NYA,N
1922,NL,NY1,Y
1922,AL,NYA,N
1923,NL,NY1,N
1923,AL,NYA,Y
1924,NL,NY1,N
1924,AL,WS1,Y
1925,NL,PIT,Y
1925,AL,WS1,N
1926,AL,NYA,N
1926,NL,SLN,Y
1927,AL,NYA,Y
1927,NL,PIT,N
1928,AL,NYA,Y
1928,NL,SLN,N
1929,NL,CHN,N
1929,AL,PHA,Y
1930,AL,PHA,Y
1930,NL,SLN,N
1931,AL,PHA,N
1931,NL,SLN,Y
1932,NL,CHN,N
1932,AL,NYA,Y
1933,NL,NY1,Y
1933,AL,WS1,N
1934,AL,DET,N
1934,NL,SLN,Y
1935,NL,CHN,N
1935,AL,DET,Y
1936,NL,NY1,N
1936,AL,NYA,Y
1937,NL,NY1,N
1937,AL,NYA,Y
1938,NL,CHN,N
1938,AL,NYA,Y
1939,NL,CIN,N
1939,AL,NYA,Y
1940,NL,CIN,Y
1940,AL,DET,N
1941,NL,BRO,N
1941,AL,NYA,Y
1942,AL,NYA,N
1942,NL,SLN,Y
1943,AL,NYA,Y
1943,NL,SLN,N
1944,AL,SLA,N
1944,NL,SLN,Y
1945,NL,CHN,N
1945,AL,DET,Y
1946,AL,BOS,N
1946,NL,SLN,Y
1947,NL,BRO,N
1947,AL,NYA,Y
1948,NL,BSN,N
1948,AL,CLE,Y
1949,NL,BRO,N
1949,AL,NYA,Y
1950,AL,NYA,Y
1950,NL,PHI,N
1951,NL,NY1,N
1951,AL,NYA,Y
1952,NL,BRO,N
1952,AL,NYA,Y
1953,NL,BRO,N
1953,AL,NYA,Y
1954,AL,CLE,N
1954,NL,NY1,Y
1955,NL,BRO,Y
1955,AL,NYA,N
1956,NL,BRO,N
1956,AL,NYA,Y
1957,NL,ML1,Y
1957,AL,NYA,N
1958,NL,ML1,N
1958,AL,NYA,Y
1959,AL,CHA,N
1959,NL,LAN,Y
1960,AL,NYA,N
1960,NL,PIT,Y
1961,NL,CIN,N
1961,AL,NYA,Y
1962,AL,NYA,Y
1962,NL,SFN,N
1963,NL,LAN,Y
1963,AL,NYA,N
1964,AL,NYA,N
1964,NL,SLN,Y
1965,NL,LAN,Y
1965,AL,MIN,N
1966,AL,BAL,Y
1966,NL,LAN,N
1967,AL,BOS,N
1967,NL,SLN,Y
1968,AL,DET,Y
1968,NL,SLN,N
1969,AL,BAL,N
1969,NL,NYN,Y
1970,AL,BAL,Y
1970,NL,CIN,N
1971,AL,BAL,N
1971,NL,PIT,Y
1972,NL,CIN,N
1972,AL,OAK,Y
1973,NL,NYN,N
1973,AL,OAK,Y
1974,NL,LAN,N
1974,AL,OAK,Y
1975,AL,BOS,N
1975,NL,CIN,Y
1976,NL,CIN,Y
1976,AL,NYA,N
1977,NL,LAN,N
1977,AL,NYA,Y
1978,NL,LAN,N
1978,AL,NYA,Y
1979,AL,BAL,N
1979,NL,PIT,Y
1980,AL,KCA,N
1980,NL,PHI,Y
1981,NL,LAN,Y
1981,AL,NYA,N
1982,AL,ML4,N
1982,NL,SLN,Y
1983,AL,BAL,Y
1983,NL,PHI,N
1984,AL,DET,Y
1984,NL,SDN,N
1985,AL,KCA,Y
1985,NL,SLN,N
1986,AL,BOS,N
1986,NL,NYN,Y
1987,AL,MIN,Y
1987,NL,SLN,N
1988,NL,LAN,Y
1988,AL,OAK,N
1989,AL,OAK,Y
1989,NL,SFN,N
1990,NL,CIN,Y
1990,AL,OAK,N
1991,NL,ATL,N
1991,AL,MIN,Y
1992,NL,ATL,N
1992,AL,TOR,Y
1993,NL,PHI,N
1993,AL,TOR,Y
1995,NL,ATL,Y
1995,AL,CLE,N
1996,NL,ATL,N
1996,AL,NYA,Y
1997,AL,CLE,N
1997,NL,FLO,Y
1998,AL,NYA,Y
1998,NL,SDN,N
1999,NL,ATL,N
1999,AL,NYA,Y
2000,AL,NYA,Y
2000,NL,NYN,N
2001,NL,ARI,Y
2001,AL,NYA,N
2002,AL,ANA,Y
2002,NL,SFN,N
2003,NL,FLO,Y
2003,AL,NYA,N
2004,AL,BOS,Y
2004,NL,SLN,N
2005,AL,CHA,Y
2005,NL,HOU,N
2006,AL,DET,N
2006,NL,SLN,Y
2007,AL,BOS,Y
2007,NL,COL,N
2008,NL,PHI,Y
2008,AL,TBA,N
2009,AL,NYA,Y
2009,NL,PHI,N
2010,NL,SFN,Y
2010,AL,TEX,N
2011,NL,SLN,Y
2011,AL,TEX,N
2012,AL,DET,N
2012,NL,SFN,Y
2013,AL,BOS,Y
2013,NL,SLN,N
2014,AL,KCA,N
2014,NL,SFN,Y
2015,AL,KCA,Y
2015,NL,NYN,N
2016,NL,CHN,Y
2016,AL,CLE,N
2017,AL,HOU,Y
2017,NL,LAN,N
